"g","callret-1"
"b3sifp",6
"b3sonto",5
"dbprdf-label",6
"facets",32
"file:wikidata_to_schema_mappings.ttl",408
"http://dbpedia.org",343965414
"http://dbpedia.org/DAV/",7080
"http://dbpedia.org/page_links",183605684
"http://dbpedia.org/resource/classes#",47080
"http://dbpedia.org/schema/property_rules#",12
"http://dbpedia.org/sparql",14
"http://dbpedia.org/void/",17
"http://people.aifb.kit.edu/ath/#DBpedia_PageRank",43268227
"http://pivot_test_data/campsites",9
"http://pivot_test_data/ski_resorts",19
"http://www.ontologyportal.org/SUMO#",587998
"http://www.ontologyportal.org/WordNet#",2895482
"http://www.openlinksw.com/schemas/oplweb#",1791
"http://www.openlinksw.com/schemas/virtcxml#",326
"http://www.openlinksw.com/schemas/virtpivot",49
"http://www.openlinksw.com/schemas/virtrdf#",2483
"http://www.openlinksw.com/virtpivot/icons",241
"http://www.w3.org/2002/07/owl#",167
"http://www.w3.org/ns/ldp#",3
"http://www.wikidata.org",749658214
"https://github.com/structureddynamics/UMBEL/External%20Ontologies/dbpedia-ontology.n3",761
"local:/virt_curi",3107528
"urn:rules.skos",2
"urn:virtuoso:val:acl:schema",7
"virtpivot-icon-test",160
"virtpivot-rules",94
"virtrdf-label",650
